group,function,value,sample_time_nanos,iteration_count
[40f52ab] Fid::rank(N) 1000000 times,,131072,93686486.0,2
[40f52ab] Fid::rank(N) 1000000 times,,131072,189299067.0,4
[40f52ab] Fid::rank(N) 1000000 times,,131072,283351250.0,6
[40f52ab] Fid::rank(N) 1000000 times,,131072,373803046.0,8
[40f52ab] Fid::rank(N) 1000000 times,,131072,469128164.0,10
[40f52ab] Fid::rank(N) 1000000 times,,131072,619550773.0,12
[40f52ab] Fid::rank(N) 1000000 times,,131072,727271431.0,14
[40f52ab] Fid::rank(N) 1000000 times,,131072,837322411.0,16
[40f52ab] Fid::rank(N) 1000000 times,,131072,939040761.0,18
[40f52ab] Fid::rank(N) 1000000 times,,131072,1043754629.0,20
